pairName,currentValues,currentTime,localTime,secondaryData,hr1MainSumm,hr1FullSumm,hr1PivotPoints,hr1TechIndicators
eur_usd,1.2061 -0.0063    -0.52%,14:08:22,2021-06-16 18:09:02.225355,"Prev. Close: 1.2124
Bid/Ask: 1.2059 / 1.2063
Day's Range: 1.2048 - 1.2136",Strong Sell,"Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (1)Sell (6)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1.2106
1.2109
1.2112
1.2115
1.2118
1.2121
1.2125
Fibonacci
1.2109
1.2111
1.2113
1.2115
1.2117
1.2119
1.2121
Camarilla
1.2114
1.2115
1.2115
1.2115
1.2117
1.2117
1.2118
Woodie's
1.2106
1.2109
1.2112
1.2115
1.2118
1.2121
1.2125
DeMark's
-
-
1.2111
1.2114
1.2117
-
-","Technical IndicatorsJun 16, 2021 06:07PM GMT
Name
Value
Action
RSI(14)
16.899
Oversold
STOCH(9,6)
71.664
Buy
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-0.001
Sell
ADX(14)
23.893
Sell
Williams %R
-81.714
Oversold
CCI(14)
-441.8018
Oversold
ATR(14)
0.0014
High Volatility
Highs/Lows(14)
-0.0048
Sell
Ultimate Oscillator
39.736
Sell
ROC
-0.532
Sell
Bull/Bear Power(13)
-0.0083
Sell
Buy: 1
Sell: 6
Neutral: 0


Summary:Strong Sell"
gbp_usd,1.4055 -0.0025    -0.18%,14:08:21,2021-06-16 18:09:02.230348,"Prev. Close: 1.4080
Bid/Ask: 1.4053 / 1.4057
Day's Range: 1.4037 - 1.4133",Strong Sell,"Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (1)Sell (7)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1.4090
1.4093
1.4099
1.4102
1.4108
1.4111
1.4117
Fibonacci
1.4093
1.4096
1.4099
1.4102
1.4105
1.4108
1.4111
Camarilla
1.4101
1.4102
1.4103
1.4102
1.4104
1.4105
1.4106
Woodie's
1.4090
1.4093
1.4099
1.4102
1.4108
1.4111
1.4117
DeMark's
-
-
1.4100
1.4103
1.4109
-
-","Technical IndicatorsJun 16, 2021 06:07PM GMT
Name
Value
Action
RSI(14)
30.522
Sell
STOCH(9,6)
63.455
Buy
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-0.000
Sell
ADX(14)
37.504
Sell
Williams %R
-89.063
Oversold
CCI(14)
-350.0008
Oversold
ATR(14)
0.0019
High Volatility
Highs/Lows(14)
-0.0049
Sell
Ultimate Oscillator
38.076
Sell
ROC
-0.284
Sell
Bull/Bear Power(13)
-0.0061
Sell
Buy: 1
Sell: 7
Neutral: 0


Summary:Strong Sell"
usd_jpy,110.21 +0.14    +0.13%,14:08:22,2021-06-16 18:09:02.234658,"Prev. Close: 110.07
Bid/Ask: 110.20 / 110.22
Day's Range: 109.81 - 110.41",Strong Buy,"Summary:Strong Buy
Moving Averages:BuyBuy (12)Sell (0)
Technical Indicators:Strong BuyBuy (7)Sell (2)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
109.82
109.85
109.86
109.89
109.91
109.93
109.95
Fibonacci
109.85
109.87
109.87
109.89
109.91
109.91
109.93
Camarilla
109.86
109.87
109.87
109.89
109.88
109.88
109.89
Woodie's
109.82
109.85
109.86
109.89
109.91
109.93
109.95
DeMark's
-
-
109.85
109.89
109.90
-
-","Technical IndicatorsJun 16, 2021 06:07PM GMT
Name
Value
Action
RSI(14)
68.537
Buy
STOCH(9,6)
25.278
Sell
STOCHRSI(14)
100.000
Overbought
MACD(12,26)
-0.010
Sell
ADX(14)
21.580
Buy
Williams %R
-21.666
Buy
CCI(14)
254.0526
Overbought
ATR(14)
0.1132
High Volatility
Highs/Lows(14)
0.2579
Buy
Ultimate Oscillator
55.050
Buy
ROC
0.191
Buy
Bull/Bear Power(13)
0.3220
Buy
Buy: 7
Sell: 2
Neutral: 0


Summary:Strong Buy"
aud_usd,0.7666 -0.0019    -0.25%,14:08:21,2021-06-16 18:09:02.238370,"Prev. Close: 0.7685
Bid/Ask: 0.7665 / 0.7667
Day's Range: 0.7641 - 0.7716",Strong Sell,"Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (1)Sell (7)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
0.7700
0.7701
0.7705
0.7706
0.7709
0.7711
0.7714
Fibonacci
0.7701
0.7703
0.7704
0.7706
0.7708
0.7709
0.7711
Camarilla
0.7706
0.7706
0.7707
0.7706
0.7707
0.7708
0.7708
Woodie's
0.7700
0.7701
0.7705
0.7706
0.7709
0.7711
0.7714
DeMark's
-
-
0.7705
0.7706
0.7709
-
-","Technical IndicatorsJun 16, 2021 06:07PM GMT
Name
Value
Action
RSI(14)
24.584
Oversold
STOCH(9,6)
77.373
Buy
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
-0.000
Sell
ADX(14)
35.397
Sell
Williams %R
-79.470
Sell
CCI(14)
-426.0865
Oversold
ATR(14)
0.0012
High Volatility
Highs/Lows(14)
-0.0040
Sell
Ultimate Oscillator
39.478
Sell
ROC
-0.526
Sell
Bull/Bear Power(13)
-0.0071
Sell
Buy: 1
Sell: 7
Neutral: 0


Summary:Strong Sell"
eur_gbp,0.8580 -0.0027    -0.32%,14:08:45,2021-06-16 18:09:02.242697,"Prev. Close: 0.8607
Bid/Ask: 0.8578 / 0.8581
Day's Range: 0.8577 - 0.8614",Strong Sell,"Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (0)Sell (9)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
0.8580
0.8583
0.8587
0.8591
0.8595
0.8599
0.8602
Fibonacci
0.8583
0.8586
0.8588
0.8591
0.8594
0.8596
0.8599
Camarilla
0.8589
0.8590
0.8590
0.8591
0.8592
0.8592
0.8593
Woodie's
0.8580
0.8583
0.8587
0.8591
0.8595
0.8599
0.8602
DeMark's
-
-
0.8586
0.8590
0.8593
-
-","Technical IndicatorsJun 16, 2021 06:07PM GMT
Name
Value
Action
RSI(14)
38.601
Sell
STOCH(9,6)
42.309
Sell
STOCHRSI(14)
24.928
Oversold
MACD(12,26)
-0.000
Sell
ADX(14)
32.649
Sell
Williams %R
-82.609
Oversold
CCI(14)
-72.0349
Sell
ATR(14)
0.0011
High Volatility
Highs/Lows(14)
-0.0003
Sell
Ultimate Oscillator
48.916
Sell
ROC
-0.314
Sell
Bull/Bear Power(13)
-0.0002
Sell
Buy: 0
Sell: 9
Neutral: 0


Summary:Strong Sell"
usd_cad,1.2224 +0.0044    +0.36%,14:08:24,2021-06-16 18:09:02.246459,"Prev. Close: 1.2180
Bid/Ask: 1.2222 / 1.2226
Day's Range: 1.2154 - 1.2237",Strong Buy,"Summary:Strong Buy
Moving Averages:BuyBuy (12)Sell (0)
Technical Indicators:Strong BuyBuy (7)Sell (1)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1.2138
1.2148
1.2158
1.2168
1.2178
1.2188
1.2198
Fibonacci
1.2148
1.2156
1.2160
1.2168
1.2176
1.2180
1.2188
Camarilla
1.2163
1.2165
1.2167
1.2168
1.2171
1.2173
1.2174
Woodie's
1.2140
1.2149
1.2160
1.2169
1.2180
1.2189
1.2200
DeMark's
-
-
1.2163
1.2171
1.2183
-
-","Technical IndicatorsJun 16, 2021 06:08PM GMT
Name
Value
Action
RSI(14)
72.346
Buy
STOCH(9,6)
33.032
Sell
STOCHRSI(14)
100.000
Overbought
MACD(12,26)
0.001
Buy
ADX(14)
34.843
Buy
Williams %R
-6.025
Overbought
CCI(14)
354.9174
Overbought
ATR(14)
0.0018
High Volatility
Highs/Lows(14)
0.0045
Buy
Ultimate Oscillator
65.768
Buy
ROC
0.464
Buy
Bull/Bear Power(13)
0.0059
Buy
Buy: 7
Sell: 1
Neutral: 0


Summary:Strong Buy"
usd_chf,0.9027 +0.0048    +0.53%,14:08:47,2021-06-16 18:09:02.250213,"Prev. Close: 0.8979
Bid/Ask: 0.9025 / 0.9029
Day's Range: 0.8977 - 0.9041",Buy,"Summary:Buy
Moving Averages:BuyBuy (12)Sell (0)
Technical Indicators:BUYBuy (5)Sell (1)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
0.8978
0.8983
0.8985
0.8990
0.8992
0.8997
0.8999
Fibonacci
0.8983
0.8986
0.8987
0.8990
0.8993
0.8994
0.8997
Camarilla
0.8986
0.8987
0.8987
0.8990
0.8989
0.8989
0.8990
Woodie's
0.8978
0.8983
0.8985
0.8990
0.8992
0.8997
0.8999
DeMark's
-
-
0.8988
0.8991
0.8995
-
-","Technical IndicatorsJun 16, 2021 06:07PM GMT
Name
Value
Action
RSI(14)
76.301
Overbought
STOCH(9,6)
29.291
Sell
STOCHRSI(14)
100.000
Overbought
MACD(12,26)
0.000
Buy
ADX(14)
18.478
Neutral
Williams %R
-15.625
Overbought
CCI(14)
383.4534
Overbought
ATR(14)
0.0013
High Volatility
Highs/Lows(14)
0.0033
Buy
Ultimate Oscillator
55.710
Buy
ROC
0.490
Buy
Bull/Bear Power(13)
0.0051
Buy
Buy: 5
Sell: 1
Neutral: 1


Summary:BUY"
nzd_chf,0.6411 +0.0019    +0.29%,14:08:45,2021-06-16 18:09:02.254586,"Prev. Close: 0.6392
Bid/Ask: 0.6408 / 0.6413
Day's Range: 0.6390 - 0.6431",Strong Sell,"Summary:Strong Sell
Moving Averages:Strong SellBuy (0)Sell (12)
Technical Indicators:Strong SellBuy (1)Sell (6)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
0.6407
0.6410
0.6412
0.6415
0.6417
0.6420
0.6423
Fibonacci
0.6410
0.6412
0.6413
0.6415
0.6417
0.6418
0.6420
Camarilla
0.6413
0.6413
0.6414
0.6415
0.6415
0.6416
0.6416
Woodie's
0.6407
0.6410
0.6412
0.6415
0.6417
0.6420
0.6423
DeMark's
-
-
0.6411
0.6414
0.6416
-
-","Technical IndicatorsJun 16, 2021 06:07PM GMT
Name
Value
Action
RSI(14)
41.966
Sell
STOCH(9,6)
67.683
Buy
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
0.000
Neutral
ADX(14)
43.324
Sell
Williams %R
-56.098
Sell
CCI(14)
-216.4562
Oversold
ATR(14)
0.0010
High Volatility
Highs/Lows(14)
-0.0006
Sell
Ultimate Oscillator
50.796
Neutral
ROC
-0.148
Sell
Bull/Bear Power(13)
-0.0035
Sell
Buy: 1
Sell: 6
Neutral: 2


Summary:Strong Sell"
usd_cny,6.3972 -0.0080    -0.12%,11:30:22,2021-06-16 18:09:02.258168,"Prev. Close: 6.4052
Bid/Ask: 6.3969 / 6.3975
Day's Range: 6.3963 - 6.4061",Strong Sell,"Summary:Strong Sell
Moving Averages:SellBuy (3)Sell (9)
Technical Indicators:Strong SellBuy (1)Sell (8)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
6.3982
6.3985
6.3989
6.3991
6.3995
6.3997
6.4002
Fibonacci
6.3985
6.3987
6.3989
6.3991
6.3993
6.3995
6.3997
Camarilla
6.3990
6.3991
6.3991
6.3991
6.3993
6.3993
6.3994
Woodie's
6.3982
6.3985
6.3989
6.3991
6.3995
6.3997
6.4002
DeMark's
-
-
6.3989
6.3991
6.3996
-
-","Technical IndicatorsJun 16, 2021 03:32PM GMT
Name
Value
Action
RSI(14)
44.337
Sell
STOCH(9,6)
34.941
Sell
STOCHRSI(14)
10.909
Oversold
MACD(12,26)
0.000
Buy
ADX(14)
29.885
Sell
Williams %R
-90.268
Oversold
CCI(14)
-79.6378
Sell
ATR(14)
0.0021
Less Volatility
Highs/Lows(14)
-0.0015
Sell
Ultimate Oscillator
40.313
Sell
ROC
-0.098
Sell
Bull/Bear Power(13)
-0.0021
Sell
Buy: 1
Sell: 8
Neutral: 0


Summary:Strong Sell"
usd_hkd,7.7625 +0.0003    +0.00%,14:08:17,2021-06-16 18:09:02.261748,"Prev. Close: 7.7622
Bid/Ask: 7.7624 / 7.7626
Day's Range: 7.7609 - 7.7633",Strong Buy,"Summary:Strong Buy
Moving Averages:BuyBuy (12)Sell (0)
Technical Indicators:Strong BuyBuy (7)Sell (0)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
7.7619
7.7621
7.7624
7.7626
7.7630
7.7631
7.7635
Fibonacci
7.7621
7.7623
7.7624
7.7626
7.7628
7.7629
7.7631
Camarilla
7.7625
7.7626
7.7626
7.7626
7.7627
7.7627
7.7628
Woodie's
7.7619
7.7621
7.7624
7.7626
7.7630
7.7631
7.7635
DeMark's
-
-
7.7624
7.7626
7.7630
-
-","Technical IndicatorsJun 16, 2021 06:07PM GMT
Name
Value
Action
RSI(14)
54.155
Neutral
STOCH(9,6)
50.678
Neutral
STOCHRSI(14)
84.658
Overbought
MACD(12,26)
0.000
Neutral
ADX(14)
21.413
Buy
Williams %R
-31.444
Buy
CCI(14)
99.7028
Buy
ATR(14)
0.0006
Less Volatility
Highs/Lows(14)
0.0002
Buy
Ultimate Oscillator
62.882
Buy
ROC
0.014
Buy
Bull/Bear Power(13)
0.0007
Buy
Buy: 7
Sell: 0
Neutral: 3


Summary:Strong Buy"
