pairName,currentValues,currentTime,localTime,secondaryData,hr1MainSumm,hr1FullSumm,hr1PivotPoints,hr1TechIndicators,hr1MovingAverages
eur_usd,1.1912 -0.0003    -0.03%,20:25:18,2021-06-22 00:25:51.669305,"Prev. Close: 1.1915
Bid/Ask: 1.1910 / 1.1914
Day's Range: 1.1908 - 1.1921",Neutral,"Summary:Neutral
Moving Averages:SellBuy (4)Sell (8)
Technical Indicators:Strong BuyBuy (7)Sell (1)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1.1902
1.1906
1.1910
1.1914
1.1917
1.1922
1.1925
Fibonacci
1.1906
1.1909
1.1911
1.1914
1.1917
1.1919
1.1922
Camarilla
1.1910
1.1911
1.1912
1.1914
1.1913
1.1914
1.1915
Woodie's
1.1900
1.1905
1.1908
1.1913
1.1915
1.1921
1.1923
DeMark's
-
-
1.1908
1.1913
1.1915
-
-","Technical IndicatorsJun 22, 2021 12:23AM GMT
Name
Value
Action
RSI(14)
57.005
Buy
STOCH(9,6)
68.336
Buy
STOCHRSI(14)
20.392
Oversold
MACD(12,26)
0.001
Buy
ADX(14)
27.132
Sell
Williams %R
-27.028
Buy
CCI(14)
18.8239
Neutral
ATR(14)
0.0010
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
51.084
Buy
ROC
0.139
Buy
Bull/Bear Power(13)
0.0002
Buy
Buy: 7
Sell: 1
Neutral: 2


Summary:Strong Buy","Jun 22, 2021 12:23AM GMT"
gbp_usd,1.3921 -0.0008    -0.06%,20:25:25,2021-06-22 00:25:51.673491,"Prev. Close: 1.3929
Bid/Ask: 1.3920 / 1.3921
Day's Range: 1.3918 - 1.3939",Neutral,"Summary:Neutral
Moving Averages:SellBuy (5)Sell (7)
Technical Indicators:Strong BuyBuy (6)Sell (1)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1.3914
1.3919
1.3922
1.3927
1.3930
1.3935
1.3938
Fibonacci
1.3919
1.3922
1.3924
1.3927
1.3930
1.3932
1.3935
Camarilla
1.3922
1.3923
1.3924
1.3927
1.3925
1.3926
1.3927
Woodie's
1.3912
1.3918
1.3920
1.3926
1.3928
1.3934
1.3936
DeMark's
-
-
1.3920
1.3926
1.3928
-
-","Technical IndicatorsJun 22, 2021 12:23AM GMT
Name
Value
Action
RSI(14)
63.796
Buy
STOCH(9,6)
75.221
Buy
STOCHRSI(14)
22.092
Oversold
MACD(12,26)
0.002
Buy
ADX(14)
63.185
Sell
Williams %R
-25.874
Buy
CCI(14)
31.2427
Neutral
ATR(14)
0.0013
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
49.068
Neutral
ROC
0.303
Buy
Bull/Bear Power(13)
0.0024
Buy
Buy: 6
Sell: 1
Neutral: 3


Summary:Strong Buy","Jun 22, 2021 12:23AM GMT"
usd_jpy,110.29 -0.01    -0.01%,20:25:23,2021-06-22 00:25:51.676417,"Prev. Close: 110.30
Bid/Ask: 110.27 / 110.30
Day's Range: 110.28 - 110.40",Strong Buy,"Summary:Strong Buy
Moving Averages:BuyBuy (10)Sell (2)
Technical Indicators:Strong BuyBuy (11)Sell (0)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
110.26
110.29
110.33
110.36
110.40
110.43
110.47
Fibonacci
110.29
110.32
110.33
110.36
110.39
110.40
110.43
Camarilla
110.36
110.36
110.37
110.36
110.38
110.39
110.39
Woodie's
110.26
110.29
110.33
110.36
110.40
110.43
110.47
DeMark's
-
-
110.34
110.36
110.41
-
-","Technical IndicatorsJun 22, 2021 12:23AM GMT
Name
Value
Action
RSI(14)
57.865
Buy
STOCH(9,6)
74.026
Buy
STOCHRSI(14)
60.349
Buy
MACD(12,26)
0.050
Buy
ADX(14)
63.063
Buy
Williams %R
-24.998
Buy
CCI(14)
103.8881
Buy
ATR(14)
0.0914
Less Volatility
Highs/Lows(14)
0.0232
Buy
Ultimate Oscillator
57.221
Buy
ROC
0.173
Buy
Bull/Bear Power(13)
0.1800
Buy
Buy: 11
Sell: 0
Neutral: 0


Summary:Strong Buy","Jun 22, 2021 12:23AM GMT"
aud_usd,0.7530 -0.0005    -0.07%,20:25:16,2021-06-22 00:25:51.679239,"Prev. Close: 0.7535
Bid/Ask: 0.7529 / 0.7531
Day's Range: 0.7527 - 0.7546",Neutral,"Summary:Neutral
Moving Averages:SellBuy (3)Sell (9)
Technical Indicators:Strong BuyBuy (6)Sell (2)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
0.7519
0.7527
0.7531
0.7538
0.7542
0.7549
0.7553
Fibonacci
0.7527
0.7531
0.7534
0.7538
0.7542
0.7545
0.7549
Camarilla
0.7532
0.7533
0.7534
0.7538
0.7536
0.7537
0.7538
Woodie's
0.7517
0.7526
0.7529
0.7537
0.7540
0.7548
0.7551
DeMark's
-
-
0.7529
0.7537
0.7540
-
-","Technical IndicatorsJun 22, 2021 12:25AM GMT
Name
Value
Action
RSI(14)
52.260
Neutral
STOCH(9,6)
66.060
Buy
STOCHRSI(14)
33.506
Sell
MACD(12,26)
0.001
Buy
ADX(14)
46.910
Buy
Williams %R
-39.239
Buy
CCI(14)
5.4338
Neutral
ATR(14)
0.0010
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
40.229
Sell
ROC
0.200
Buy
Bull/Bear Power(13)
0.0002
Buy
Buy: 6
Sell: 2
Neutral: 3


Summary:Strong Buy","Jun 22, 2021 12:25AM GMT"
eur_gbp,0.8558 +0.0009    +0.11%,20:25:27,2021-06-22 00:25:51.682058,"Prev. Close: 0.8548
Bid/Ask: 0.8556 / 0.8559
Day's Range: 0.8549 - 0.8558",Strong Sell,"Summary:Strong Sell
Moving Averages:SellBuy (3)Sell (9)
Technical Indicators:Strong SellBuy (0)Sell (8)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
0.8547
0.8549
0.8552
0.8554
0.8557
0.8559
0.8563
Fibonacci
0.8549
0.8551
0.8552
0.8554
0.8556
0.8557
0.8559
Camarilla
0.8553
0.8553
0.8554
0.8554
0.8555
0.8556
0.8556
Woodie's
0.8547
0.8549
0.8552
0.8554
0.8557
0.8559
0.8563
DeMark's
-
-
0.8553
0.8554
0.8558
-
-","Technical IndicatorsJun 22, 2021 12:23AM GMT
Name
Value
Action
RSI(14)
39.055
Sell
STOCH(9,6)
25.802
Sell
STOCHRSI(14)
90.567
Overbought
MACD(12,26)
-0.001
Sell
ADX(14)
47.578
Sell
Williams %R
-69.811
Sell
CCI(14)
-37.5389
Neutral
ATR(14)
0.0008
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
47.791
Sell
ROC
-0.169
Sell
Bull/Bear Power(13)
-0.0008
Sell
Buy: 0
Sell: 8
Neutral: 2


Summary:Strong Sell","Jun 22, 2021 12:23AM GMT"
usd_cad,1.2374 +0.0015    +0.12%,20:25:16,2021-06-22 00:25:51.684839,"Prev. Close: 1.2359
Bid/Ask: 1.2372 / 1.2376
Day's Range: 1.2355 - 1.2377",Neutral,"Summary:Neutral
Moving Averages:BuyBuy (7)Sell (5)
Technical Indicators:Strong SellBuy (1)Sell (7)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
1.2352
1.2357
1.2363
1.2367
1.2373
1.2377
1.2384
Fibonacci
1.2357
1.2361
1.2363
1.2367
1.2371
1.2373
1.2377
Camarilla
1.2367
1.2368
1.2369
1.2367
1.2371
1.2372
1.2373
Woodie's
1.2354
1.2358
1.2365
1.2368
1.2375
1.2378
1.2386
DeMark's
-
-
1.2360
1.2366
1.2371
-
-","Technical IndicatorsJun 22, 2021 12:25AM GMT
Name
Value
Action
RSI(14)
38.816
Sell
STOCH(9,6)
33.961
Sell
STOCHRSI(14)
68.827
Buy
MACD(12,26)
-0.001
Sell
ADX(14)
60.165
Neutral
Williams %R
-75.610
Sell
CCI(14)
-30.8542
Neutral
ATR(14)
0.0016
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
48.864
Sell
ROC
-0.419
Sell
Bull/Bear Power(13)
-0.0018
Sell
Buy: 1
Sell: 7
Neutral: 3


Summary:Strong Sell","Jun 22, 2021 12:25AM GMT"
usd_chf,0.9186 +0.0008    +0.08%,20:25:30,2021-06-22 00:25:51.687625,"Prev. Close: 0.9178
Bid/Ask: 0.9185 / 0.9186
Day's Range: 0.9176 - 0.9189",Neutral,"Summary:Neutral
Moving Averages:BuyBuy (9)Sell (3)
Technical Indicators:Strong SellBuy (1)Sell (7)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
0.9176
0.9179
0.9182
0.9185
0.9188
0.9191
0.9195
Fibonacci
0.9179
0.9181
0.9183
0.9185
0.9187
0.9189
0.9191
Camarilla
0.9185
0.9186
0.9186
0.9185
0.9188
0.9188
0.9189
Woodie's
0.9178
0.9180
0.9184
0.9186
0.9190
0.9192
0.9197
DeMark's
-
-
0.9184
0.9186
0.9190
-
-","Technical IndicatorsJun 22, 2021 12:25AM GMT
Name
Value
Action
RSI(14)
42.097
Sell
STOCH(9,6)
32.335
Sell
STOCHRSI(14)
60.620
Buy
MACD(12,26)
-0.001
Sell
ADX(14)
30.286
Neutral
Williams %R
-75.000
Sell
CCI(14)
-25.5726
Neutral
ATR(14)
0.0009
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
41.790
Sell
ROC
-0.261
Sell
Bull/Bear Power(13)
-0.0006
Sell
Buy: 1
Sell: 7
Neutral: 3


Summary:Strong Sell","Jun 22, 2021 12:25AM GMT"
nzd_chf,0.6415 +0.0003    +0.05%,20:25:37,2021-06-22 00:25:51.690434,"Prev. Close: 0.6411
Bid/Ask: 0.6411 / 0.6418
Day's Range: 0.6407 - 0.6424",Strong Sell,"Summary:Strong Sell
Moving Averages:Strong SellBuy (1)Sell (11)
Technical Indicators:Strong SellBuy (1)Sell (6)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
0.6407
0.6412
0.6414
0.6419
0.6421
0.6426
0.6428
Fibonacci
0.6412
0.6415
0.6416
0.6419
0.6422
0.6423
0.6426
Camarilla
0.6415
0.6416
0.6416
0.6419
0.6418
0.6418
0.6419
Woodie's
0.6407
0.6412
0.6414
0.6419
0.6421
0.6426
0.6428
DeMark's
-
-
0.6413
0.6419
0.6420
-
-","Technical IndicatorsJun 22, 2021 12:25AM GMT
Name
Value
Action
RSI(14)
48.408
Neutral
STOCH(9,6)
49.544
Neutral
STOCHRSI(14)
2.070
Oversold
MACD(12,26)
0.000
Buy
ADX(14)
29.019
Sell
Williams %R
-59.523
Sell
CCI(14)
-138.1362
Sell
ATR(14)
0.0009
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
48.397
Sell
ROC
-0.101
Sell
Bull/Bear Power(13)
-0.0011
Sell
Buy: 1
Sell: 6
Neutral: 3


Summary:Strong Sell","Jun 22, 2021 12:25AM GMT"
usd_cny,6.4669 +0.0144    +0.22%,11:30:33,2021-06-22 00:25:51.693219,"Prev. Close: 6.4525
Bid/Ask: 6.4659 / 6.4679
Day's Range: 6.4477 - 6.4715",Strong Buy,"Summary:Strong Buy
Moving Averages:BuyBuy (9)Sell (3)
Technical Indicators:Strong BuyBuy (8)Sell (1)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
6.4656
6.4669
6.4679
6.4693
6.4703
6.4717
6.4727
Fibonacci
6.4669
6.4678
6.4684
6.4693
6.4702
6.4708
6.4717
Camarilla
6.4684
6.4686
6.4688
6.4693
6.4693
6.4695
6.4697
Woodie's
6.4656
6.4669
6.4679
6.4693
6.4703
6.4717
6.4727
DeMark's
-
-
6.4675
6.4691
6.4699
-
-","Technical IndicatorsJun 21, 2021 03:40PM GMT
Name
Value
Action
RSI(14)
66.518
Buy
STOCH(9,6)
68.133
Buy
STOCHRSI(14)
0.000
Oversold
MACD(12,26)
0.008
Buy
ADX(14)
23.472
Buy
Williams %R
-23.711
Buy
CCI(14)
53.8174
Buy
ATR(14)
0.0040
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
48.143
Sell
ROC
0.198
Buy
Bull/Bear Power(13)
0.0068
Buy
Buy: 8
Sell: 1
Neutral: 1


Summary:Strong Buy","Jun 21, 2021 03:40PM GMT"
usd_hkd,7.7646 -0.0003    -0.00%,20:25:29,2021-06-22 00:25:51.695999,"Prev. Close: 7.7648
Bid/Ask: 7.7644 / 7.7647
Day's Range: 7.7644 - 7.7653",Buy,"Summary:Buy
Moving Averages:BuyBuy (7)Sell (5)
Technical Indicators:BUYBuy (4)Sell (2)","Name
S3
S2
S1
Pivot Points
R1
R2
R3
Classic
7.7639
7.7642
7.7644
7.7648
7.7650
7.7654
7.7656
Fibonacci
7.7642
7.7644
7.7646
7.7648
7.7650
7.7652
7.7654
Camarilla
7.7646
7.7647
7.7647
7.7648
7.7649
7.7649
7.7650
Woodie's
7.7639
7.7642
7.7644
7.7648
7.7650
7.7654
7.7656
DeMark's
-
-
7.7645
7.7648
7.7651
-
-","Technical IndicatorsJun 22, 2021 12:25AM GMT
Name
Value
Action
RSI(14)
51.815
Neutral
STOCH(9,6)
68.453
Buy
STOCHRSI(14)
8.765
Oversold
MACD(12,26)
0.000
Buy
ADX(14)
37.499
Neutral
Williams %R
-55.988
Sell
CCI(14)
-20.6690
Neutral
ATR(14)
0.0005
Less Volatility
Highs/Lows(14)
0.0000
Neutral
Ultimate Oscillator
54.162
Buy
ROC
0.004
Buy
Bull/Bear Power(13)
-0.0008
Sell
Buy: 4
Sell: 2
Neutral: 4


Summary:BUY","Jun 22, 2021 12:25AM GMT"
